ENSG_ID	c_12h_rep2	c_12h_rep1	c_24h_rep2	c_24h_rep1	t_12h_rep1	t_12h_rep2	t_24h_rep1	t_24h_rep2
ENSG00000151657	3.829991343	3.837480817	3.965167746	3.898390529	3.767918638	3.859158827	3.763489741	3.793911486
ENSG00000151665	8.666697533	8.79506469	8.585736733	8.67556089	8.765876544	8.730508111	8.530506397	8.617678197
ENSG00000151687	2.802702081	2.845736693	2.7723933	2.834078885	2.96192715	2.928366994	2.812569644	2.814842997
ENSG00000151689	6.231629397	6.314449542	6.181734143	6.322351193	6.435615406	6.210490908	6.239759944	6.109637157
ENSG00000151690	6.804478196	6.603100994	6.618249034	6.777707043	6.636997056	6.696676649	6.506884256	6.64931922
ENSG00000151692	5.720631501	5.579819195	5.983649696	5.876641214	5.446731864	5.859483714	5.619469988	5.680984158
ENSG00000151693	8.755197523	8.740730561	8.802391028	8.978818618	8.69689615	8.695034256	8.648208154	8.715028137
ENSG00000151694	7.470636421	7.365998727	7.548268899	7.606250304	7.484810563	7.487379669	7.465531229	7.513627526
ENSG00000151702	2.926404024	2.798354096	2.758305305	2.727509602	2.77290701	2.733775763	2.893346198	2.703935423
ENSG00000151704	2.969820359	3.010192509	3.031994017	2.918664658	3.058835091	3.021941296	3.016225536	2.953696409
ENSG00000151715	7.015060265	6.963528167	6.894144746	6.696494461	6.361815975	6.189507303	6.008266631	5.973360316
ENSG00000151718	5.483428761	5.317755047	5.260470185	5.333536496	5.348360713	5.431457472	5.461239654	5.443602468
ENSG00000151725	8.87921979	8.864661536	9.243126302	9.335666786	9.151434863	9.203063794	9.312360697	9.361690458
ENSG00000151726	7.516202028	7.414582034	7.469390194	7.337447952	7.541733495	7.443049229	7.481573939	7.478748888
ENSG00000151729	6.03531754	6.007991001	5.896936402	5.972304998	5.896422003	5.985614648	5.920427076	6.074054338
ENSG00000151743	4.636776329	4.645691375	4.746483422	4.843950926	4.726320554	4.836027647	4.500233413	4.888571109
ENSG00000151746	4.764292951	4.825309766	4.801891975	4.82669776	4.897105571	4.955804362	5.05930139	4.989849345
ENSG00000151748	6.392209647	6.265544553	6.364399594	6.510777395	6.491875787	6.487511903	6.433531012	6.434465245
